,MedHouseVal
25196,0.45
8556,1.236
15453,3.519
16502,2.108
27162,1.452
34622,0.541
27145,2.5
20987,5.00001
19196,5.00001
19736,2.222
26751,0.691
1507,1.63
31847,1.696
8773,3.229
25069,1.259
10427,0.225
11517,5.00001
21140,4.338
34463,1.731
3324,0.67
11461,2.083
30227,2.122
5833,3.141
4635,1.914
5815,0.637
9025,1.583
33974,1.575
1371,2.283
23039,0.866
28234,0.603
32662,1.049
30593,1.188
3049,0.73
32809,3.629
23007,2.644
371,5.00001
15602,0.955
20494,5.00001
3516,1.667
10065,1.442
24337,0.966
33018,1.5
30904,5.00001
17274,1.82
19366,1.798
24524,0.722
29885,0.918
30502,2.891
16782,1.884
9812,2.181
9940,2.264
25204,3.846
32460,2.264
25907,5.00001
35340,3.637
24591,1.495
13179,4.85
34172,1.879
6746,0.974
29606,3.048
13252,1.581
23332,3.481
19600,1.752
35165,1.737
9931,1.423
20953,4.5
17932,1.455
5012,1.125
9400,0.658
32260,1.161
23233,1.923
33555,1.58
25401,1.159
459,1.914
34882,2.699
11144,2.125
23476,4.795
34426,1.375
4276,0.838
15267,3.258
24123,2.258
19403,1.161
14735,1.431
29267,1.657
3779,0.581
11231,1.655
1463,1.683
2552,1.254
14192,1.026
4402,1.66
18973,0.517
1542,2.5
34105,2.858
26705,5.00001
6764,2.876
4483,2.264
32411,1.99
4369,2.042
32128,2.67
4851,3.692
24757,4.563
7282,2.075
24795,1.619
34269,2.609
21034,1.84
26218,2.667
8503,1.443
12042,1.207
12044,1.042
29154,2.597
6232,4.853
5998,2.611
8339,2.903
9967,2.538
17329,5.00001
16112,0.808
19117,2.396
16997,0.707
12191,1.875
13397,1.406
15570,0.814
518,3.511
23134,2.597
25389,1.235
14731,1.631
31341,2.878
4945,1.107
3281,1.634
15060,3.198
20206,1.287
1677,2.385
1965,2.298
22296,1.8
15660,1.125
36746,1.454
12761,0.885
2539,2.375
32667,1.333
7911,2.118
25073,4.0
28927,1.586
11029,1.375
23158,1.525
7594,1.561
24875,2.063
33944,2.155
10844,1.706
9713,1.6
29633,1.468
31801,2.425
3566,3.223
13908,1.783
18367,3.855
16541,1.519
1974,1.052
9586,5.00001
28322,1.575
2830,1.798
5494,1.447
11270,1.654
17817,5.00001
19776,2.472
26505,4.561
13360,5.00001
10064,1.497
35543,1.088
7571,2.21
16820,2.788
2390,2.264
16012,3.406
31440,1.464
18140,2.73
1836,2.364
4408,0.688
1841,2.62
3103,1.821
26301,2.291
28594,1.531
23444,3.211
15668,1.472
3727,2.167
20069,1.286
18192,2.884
21646,4.572
13030,5.00001
25032,2.211
27916,2.756
23761,1.679
25955,2.25
7405,1.938
22559,5.00001
29788,1.63
7310,1.388
15861,2.026
18617,1.452
9338,3.346
11708,1.375
4190,1.589
15672,2.133
23967,1.675
10414,1.445
5002,2.625
31585,1.83
30409,3.302
2909,1.869
24571,1.585
14362,1.865
13112,1.722
18426,0.837
15207,1.265
4010,1.982
30069,3.131
17840,3.144
1537,0.729
12526,2.993
28473,1.913
26483,3.213
32076,0.712
10109,1.466
6672,1.373
19460,1.283
23232,2.206
35600,2.185
13708,1.602
34245,1.332
29373,5.00001
21750,1.214
8920,1.734
25299,1.497
20687,2.267
10119,1.759
23370,1.839
21204,1.93
23877,1.142
20312,0.725
6265,0.969
4693,3.821
26546,3.742
22862,1.524
20340,1.909
2301,3.477
25266,2.428
17869,0.881
33707,1.125
21728,1.675
22547,3.855
13438,1.655
2780,1.463
15190,1.73
18299,0.802
17319,3.34
169,1.5
8836,1.054
28513,2.581
13393,1.375
14936,1.391
25456,1.464
22323,2.217
14975,1.428
9166,0.851
1570,1.64
19251,2.423
23050,0.882
19037,2.256
14045,1.49
27579,1.577
11404,1.165
27641,0.608
30770,0.533
35627,0.762
10313,1.326
29217,0.594
15095,3.599
13556,2.329
9716,0.575
13656,1.369
26318,4.436
21963,1.077
19473,2.494
9306,3.536
4239,0.889
9670,2.575
12319,2.014
24921,2.123
2661,1.769
22127,0.75
13082,2.19
8042,1.809
15234,1.75
15406,1.772
26629,1.719
21176,0.75
14198,2.2
21609,5.00001
14142,2.238
29654,1.452
7009,0.929
24513,3.256
6097,2.574
18768,2.314
11744,1.953
6875,1.375
7078,2.773
29807,5.00001
33847,2.674
37075,3.479
5943,5.00001
17652,2.759
18783,2.161
30760,5.00001
31701,1.382
16930,0.593
14176,1.707
9371,5.00001
708,1.534
9898,1.875
29838,0.99
1697,2.495
10539,2.79
33275,2.621
32248,3.011
225,3.372
28184,2.309
412,2.254
4634,5.00001
22248,2.552
14542,1.519
16446,0.911
33902,1.865
9339,1.125
28826,2.285
1468,3.0
22631,4.466
33687,2.793
21060,0.832
8992,1.632
5986,1.785
29540,3.359
5733,2.146
22648,2.274
36645,1.621
31125,1.286
7051,3.008
26372,1.848
9295,0.795
11918,1.167
17844,0.925
33541,1.238
4541,1.606
27401,0.704
29469,0.654
23102,4.419
14605,3.817
11387,2.432
26452,1.477
34492,2.868
1608,3.449
22082,1.022
20930,3.942
9454,1.88
10013,1.358
31530,3.576
33164,0.53
16906,2.55
13488,2.458
20295,1.094
2892,1.713
28697,1.385
25194,1.042
34508,0.673
31698,5.00001
32032,0.366
24733,5.00001
22510,2.536
26851,2.113
13893,3.144
7011,5.00001
4686,0.613
31734,3.322
13973,1.782
35659,1.875
8193,2.097
3370,2.63
34259,4.176
1152,0.597
17900,0.851
4908,3.808
31326,1.583
31969,0.66
5655,0.52
2811,0.727
29795,1.52
2772,4.231
34491,1.208
16284,2.205
20207,2.25
24330,1.508
22125,3.822
33946,2.11
30690,4.148
7380,0.875
35538,1.841
13128,0.73
24190,3.607
34668,0.926
17337,3.919
9261,2.598
36291,4.854
9886,3.868
14455,1.904
17684,2.262
5999,2.52
30665,0.444
522,2.719
27003,1.134
14017,1.518
36705,0.677
34624,1.954
6515,2.195
13681,0.967
35313,3.565
21114,2.398
26621,1.5
24498,3.272
26365,1.56
24806,3.949
29246,1.46
8799,0.926
27775,1.654
31485,2.685
35793,3.143
27645,4.2
29565,1.993
6803,2.0
35111,2.77
16019,1.019
34376,2.881
21305,0.558
8775,1.766
13520,1.138
1519,3.539
19370,2.148
7335,1.281
6813,0.394
23563,0.605
33780,2.514
3161,0.982
17908,1.638
23212,1.207
9702,0.6
23672,2.273
6361,2.947
2971,1.544
4896,2.578
35017,2.289
8268,1.807
11121,3.308
16739,1.313
9715,1.457
2955,3.134
12045,3.092
27232,1.523
21825,1.753
15567,0.7
8019,1.169
34427,0.967
34599,1.783
1711,1.707
22047,1.631
15918,0.834
7242,0.933
12874,1.923
29623,4.385
13503,0.918
12113,1.951
20950,1.597
20104,0.694
23691,1.875
17992,0.828
14622,2.603
1460,2.326
25903,1.22
16869,1.875
21970,2.306
29917,2.581
16450,1.355
23746,1.969
11056,1.377
30466,1.583
6308,3.065
33154,1.171
25285,0.683
30297,3.231
26111,4.175
19140,1.25
10654,3.167
28003,1.0
1247,2.223
5151,5.00001
19389,0.911
28693,2.194
28942,2.613
10809,0.55
15043,2.298
26054,1.019
11822,2.338
25830,3.005
27457,2.042
5487,2.337
10991,3.228
28194,3.063
21719,1.411
35866,1.894
28177,1.74
16759,2.447
7927,1.089
24582,1.606
34386,2.057
29637,0.495
14753,1.797
10304,0.875
1123,1.08
36702,2.125
17849,1.0
18432,3.615
28086,1.375
34103,2.258
2699,4.398
29572,1.469
9004,5.00001
24355,0.736
34562,3.676
13648,1.659
20188,2.063
23052,1.517
20341,1.611
9081,0.879
439,2.192
15223,1.641
36292,0.906
28162,0.477
6314,1.375
19238,1.603
3722,5.00001
25076,2.966
26333,1.688
28829,5.00001
26234,5.00001
33652,1.51
19305,1.667
21134,2.117
31245,1.125
29039,2.588
23794,2.36
26096,3.741
34204,1.54
11685,2.675
3279,0.741
7266,0.857
21782,2.826
18537,2.399
15350,2.705
14801,5.00001
10242,0.664
19165,1.313
35696,3.417
32373,2.346
12574,3.946
27633,3.477
3262,1.841
18260,0.602
20325,1.856
5499,2.791
18463,4.521
2640,0.775
13362,1.923
32641,2.518
1926,1.011
18923,2.546
10434,2.929
237,3.8
32796,2.933
5891,1.079
34049,2.125
13283,1.32
6652,0.918
24235,2.375
17854,1.426
9029,1.69
28070,2.837
14009,3.238
35159,1.385
3991,2.048
13528,2.26
10246,2.18
12091,0.688
4279,1.508
20879,1.425
18935,1.212
22695,2.333
24072,1.27
8463,2.411
3399,2.292
25274,1.079
34497,1.403
21513,0.985
11267,1.09
7138,5.00001
12298,2.09
10767,1.269
10595,0.685
5472,1.875
23265,2.856
36444,3.422
20560,0.59
14,0.771
4185,0.966
28262,5.00001
27816,0.884
22282,3.182
13583,0.571
9871,1.072
1464,1.778
22980,0.974
185,1.518
11556,2.879
34572,2.291
18105,0.575
19020,2.221
7074,0.673
34234,1.0
5370,1.728
18086,4.105
33947,2.968
21529,2.593
5319,1.938
25537,1.66
4268,5.00001
18640,3.74
17077,2.753
33549,3.753
23282,1.344
36790,1.592
4680,0.903
12395,3.35
17417,0.946
20017,5.00001
17168,4.38
32553,2.265
20851,0.55
6551,2.488
13653,1.688
33044,1.907
16413,1.629
32519,1.0
25852,4.0
14163,1.721
19307,5.00001
13586,0.43
4688,2.67
31515,2.264
26070,0.855
777,0.888
12975,2.022
5958,3.021
6334,2.401
27402,2.409
6528,2.097
23750,1.335
15080,2.792
15196,1.606
14170,2.453
2441,1.376
27148,1.84
13202,1.925
20180,1.579
29740,1.472
1344,1.591
32707,1.736
2720,1.844
9180,4.421
7637,2.091
21517,1.371
27180,3.562
30309,1.375
23428,4.577
28683,3.203
20168,2.128
33074,1.423
35044,2.369
353,3.6
16523,4.286
26764,2.706
30059,1.554
30379,1.825
13911,1.479
17783,1.625
16273,2.646
4132,1.634
30400,2.132
9466,2.232
14928,0.592
16942,1.381
12358,2.77
31417,0.904
20059,1.4
7369,0.513
22976,2.446
32591,3.491
24507,4.04
14916,1.992
7565,1.375
36223,1.879
28156,0.596
32843,1.047
30429,0.906
22369,2.786
671,1.733
33544,1.656
36418,0.871
13116,2.676
37117,5.00001
24933,0.923
7892,0.826
4160,2.466
10995,1.64
16598,3.5
7803,1.555
29208,4.072
6296,1.073
17188,0.63
1561,1.656
33676,1.569
8262,3.742
17945,3.561
4575,0.544
3069,4.833
17091,5.00001
27279,1.36
34294,2.122
26856,1.1
33937,2.433
18283,1.162
7618,1.135
18867,3.404
23653,1.624
31764,2.069
22813,0.713
6291,1.705
37130,1.32
9433,1.389
28879,1.472
18931,1.742
3982,3.327
1396,1.698
8492,2.237
18818,1.608
25772,1.076
33551,1.519
36416,2.148
25815,2.695
33646,0.592
17553,0.529
31252,3.509
19339,1.51
17413,1.856
1206,1.563
29915,1.2
21794,2.688
33041,3.007
36163,1.306
31987,0.829
1692,3.373
33740,0.875
24785,2.666
35919,1.962
25715,1.227
12054,1.049
23870,0.673
11136,3.908
10586,3.414
4829,2.184
13036,2.321
31425,3.422
7151,2.065
21738,1.925
21977,1.7
21041,4.052
14291,1.92
9626,2.118
4150,2.056
18693,5.00001
26847,3.279
13403,0.586
19602,2.287
26497,1.823
33406,1.05
22266,1.896
26424,1.292
19930,1.308
23277,1.431
22946,0.723
5565,4.316
37043,1.829
27643,1.823
18347,1.678
5163,1.25
6988,0.659
21038,2.355
34955,1.234
8904,2.023
4854,1.774
12983,0.788
4473,3.213
17434,0.584
19155,1.052
8096,0.875
33579,3.919
27053,1.706
19860,1.35
32638,2.161
10262,2.201
249,1.163
13839,0.593
17191,3.208
36979,3.458
18773,3.591
14279,3.46
3546,2.625
32560,0.875
33764,2.583
4363,1.748
36039,0.624
28287,1.741
10771,2.411
5775,1.421
15085,0.396
18979,1.996
4404,1.967
12392,2.641
30170,1.672
21713,1.406
8819,3.341
3173,2.673
35188,1.434
30791,1.429
1061,2.253
21516,2.493
33859,0.875
14525,1.601
34423,1.029
3757,0.948
28932,1.073
7468,1.672
6202,0.523
21633,1.018
17725,1.625
20539,2.419
4596,0.731
24026,1.448
26141,1.167
34806,2.23
16988,0.866
27152,1.851
10915,2.801
4027,2.593
36344,1.082
33098,1.919
17350,0.635
23990,0.926
18997,2.849
28723,1.931
20511,1.25
28521,1.335
1917,0.693
739,1.511
4478,2.641
3914,4.062
5447,2.757
32544,1.813
16443,1.214
28480,2.528
32660,1.411
19002,1.518
14524,3.074
5983,0.817
12275,1.722
20382,2.5
18928,2.097
6228,1.231
10387,4.165
2026,1.083
10925,2.254
10674,1.614
28982,1.618
17250,2.638
25539,1.273
11457,1.488
767,1.761
28820,3.558
18298,0.975
18645,5.00001
7887,2.328
33029,1.856
3586,5.00001
4083,1.439
9402,0.622
3523,2.993
13965,0.71
23477,0.977
20364,1.645
23742,2.182
30721,1.829
2187,1.567
8533,0.75
10352,2.786
15978,1.125
15571,1.216
24510,2.125
24747,1.797
32293,1.89
33261,5.00001
23133,1.729
5608,1.298
201,2.827
21018,1.599
9442,5.00001
35164,2.655
21768,1.696
8852,3.4
22907,0.55
14310,5.00001
14739,2.138
9255,3.314
23523,1.826
3946,1.854
18425,2.237
24714,1.417
27244,1.016
8421,1.208
3882,2.387
12048,1.505
2616,1.069
6980,1.884
3480,0.404
35303,5.00001
22558,5.00001
29461,2.42
6605,2.289
13814,3.387
35043,1.83
5543,0.602
33805,2.75
17097,1.875
37082,1.109
18933,1.385
30472,2.122
22954,3.422
619,2.707
3695,5.00001
580,2.423
17826,1.676
22275,2.354
13375,0.933
6829,1.174
4955,3.504
32635,1.114
33212,2.27
15806,1.558
18969,2.361
12254,1.25
13567,3.614
10555,0.882
9320,0.734
31970,3.613
23067,0.844
10094,2.298
31591,3.087
33247,2.73
24414,4.026
23911,1.651
23146,0.682
19289,1.385
11903,1.18
35294,0.989
32928,1.97
30031,1.849
9722,1.321
30669,2.966
34997,1.576
19365,0.995
1322,3.423
16274,3.674
13085,4.411
37113,3.144
29485,1.74
19412,2.306
2704,2.954
34605,3.321
31470,1.667
14700,1.804
33484,2.791
20995,2.615
5300,0.557
298,5.00001
32336,2.42
34655,0.875
3238,3.208
16035,1.688
32388,2.104
3205,4.24
18399,2.325
19084,1.469
21284,2.034
30140,5.00001
18318,0.598
933,1.286
34639,1.039
33598,5.00001
7868,0.93
28047,1.587
34374,1.183
19598,1.527
14366,1.306
34892,4.964
4862,2.081
4731,1.918
6594,3.185
25392,0.857
21383,1.838
29254,1.579
32760,1.857
34559,0.14999
18884,0.938
9240,1.455
23725,2.137
24780,2.391
16695,3.5
21469,2.287
25645,1.375
11550,2.19
34178,1.109
15904,5.00001
12473,4.577
595,3.673
0,0.98
2103,3.56
19679,1.531
19180,0.562
7589,2.526
15315,2.406
9563,3.822
12300,2.092
30187,0.992
19103,1.208
35104,2.415
5059,2.467
4751,1.599
31059,1.126
21011,2.725
22716,1.119
13184,2.624
35548,1.97
17252,2.807
4294,0.975
36104,3.571
995,3.427
5862,1.792
22253,2.746
3094,1.063
18262,1.625
3303,1.902
11898,1.625
24092,1.214
15774,2.505
7876,3.587
13853,3.167
25,1.816
20426,2.733
10482,3.197
36300,1.951
35181,2.408
26482,1.355
32017,0.883
31756,3.594
34960,0.431
1114,0.561
3321,1.415
1647,0.66
4867,2.563
31438,5.00001
2222,2.349
13921,3.049
33573,1.475
7855,2.706
19317,0.945
36397,1.5
999,3.3
25026,0.823
32190,1.145
12000,5.00001
20101,2.682
27479,4.955
26381,5.00001
33694,3.05
21723,3.367
8571,1.666
20019,0.654
28040,2.75
10635,1.319
17737,1.229
5021,2.0
4248,1.331
1706,1.112
15147,2.68
35986,2.869
24721,2.674
36533,1.858
36351,1.516
10261,3.343
32944,0.987
21408,1.015
27210,0.325
13248,2.417
33932,3.349
3782,1.97
1086,3.91
30225,1.036
15726,1.575
10690,1.183
4372,2.069
33644,0.923
25095,3.431
16478,1.186
5606,1.265
27255,0.668
35430,2.831
17809,1.6
31437,1.0
15348,1.839
12625,2.25
1549,2.693
29974,1.073
23368,1.234
30083,0.888
1578,4.42
9836,2.256
25780,0.508
17987,0.55
15055,1.604
6224,1.344
10167,0.492
25580,2.27
2466,1.161
22423,1.825
27495,0.847
16810,3.5
2779,2.691
28210,1.416
32244,1.567
23483,2.316
1380,1.932
34111,2.131
8066,0.68
27601,4.0
25793,2.47
30458,1.795
13346,0.959
22712,1.926
37127,1.344
11787,2.552
17753,2.74
23054,3.943
34579,0.979
8172,0.531
6151,2.509
10465,2.387
21141,1.707
6842,3.112
36318,4.261
2576,0.936
30191,0.539
11660,2.5
20836,1.194
13578,1.498
20433,2.659
16600,1.008
2728,2.308
31228,0.887
2460,5.00001
1868,2.03
2801,2.2
11613,1.458
25992,1.187
11020,5.00001
9777,2.125
26702,1.556
9297,0.774
7606,2.793
2972,2.25
28631,2.765
32082,1.117
23912,1.409
16985,0.603
12773,5.00001
4312,5.00001
408,0.547
10980,0.716
33494,2.538
32816,2.821
1389,0.6
34176,1.042
36924,1.375
16790,3.328
28781,0.813
20971,1.0
191,1.487
967,1.504
20730,4.851
8686,2.409
12707,0.756
34659,1.984
16158,2.386
24400,1.556
23732,2.375
7358,1.58
33314,1.177
14051,1.641
2108,1.568
12056,3.477
21811,0.879
35647,1.586
22860,2.291
11607,1.581
9849,3.459
28756,3.33
11674,1.388
23090,2.241
24647,0.984
31859,4.459
2323,2.048
3969,1.867
31241,5.00001
22395,1.333
6017,2.5
34741,2.109
17742,3.22
13636,1.219
4937,2.538
29301,2.61
31522,2.503
5624,1.235
33554,1.038
28139,5.00001
29743,1.875
5443,5.00001
8030,1.357
19971,1.546
30700,4.285
21192,2.657
28301,1.208
16486,3.643
8593,0.768
7401,1.125
9664,1.735
16373,1.486
9307,0.778
7101,1.181
23947,2.138
8743,2.217
29319,1.351
23890,1.465
22909,3.372
36681,3.462
15540,2.25
29970,1.907
18487,1.397
21662,2.322
4819,5.00001
21873,4.19
1434,2.333
3571,2.086
24505,3.525
35968,1.557
26098,1.163
12767,1.58
3464,2.154
6985,2.172
28744,1.797
850,1.262
29845,1.848
31307,3.49
35974,1.129
9551,1.719
34021,2.806
35565,4.025
13800,2.548
10875,3.015
24466,2.74
35491,0.698
7412,5.00001
17765,1.695
19727,1.813
8876,3.772
36764,1.586
30476,0.739
24559,1.302
15650,0.715
11186,1.067
6638,1.574
8583,3.599
828,1.843
23494,1.176
32752,0.713
18445,1.458
4315,2.131
13995,2.304
19921,2.781
2486,1.152
35032,5.00001
1039,1.757
12861,1.753
14521,2.285
16436,1.739
24101,1.911
8054,0.936
29218,2.215
27085,1.288
3349,2.75
36067,2.269
7089,0.56
27730,0.846
20962,1.367
16762,0.714
27953,1.265
22276,4.131
31481,2.81
1726,2.802
19056,2.653
2931,3.065
13918,1.957
21605,2.0
15072,1.64
3195,1.31
35996,1.711
36289,4.5
20712,1.125
19031,1.627
1517,1.798
35527,1.507
27348,1.372
3726,3.357
36546,1.569
33671,0.632
14868,1.148
36952,1.975
17942,1.476
32818,1.62
4593,0.832
1131,1.58
13044,3.412
27130,1.554
20707,1.778
1175,1.828
11197,1.905
7063,1.875
34323,0.906
17886,2.41
15817,3.469
10088,2.104
16735,2.149
36602,1.056
35641,5.00001
16333,3.375
34914,1.485
22304,1.875
33617,1.346
1213,1.079
31757,0.72
33366,2.692
24477,1.775
23598,1.597
2085,0.806
29303,2.785
20102,0.583
9712,1.96
2733,2.341
21545,2.379
22933,0.98
34150,1.091
27882,1.672
36450,3.11
25943,0.966
36579,2.028
18725,0.694
28710,4.125
14796,1.944
20634,2.267
10688,1.563
19811,2.292
2698,5.00001
35705,0.905
6642,0.599
6824,3.133
21098,1.625
31809,2.673
7555,0.825
36006,1.154
10384,2.183
15332,1.266
10165,1.496
20144,2.364
30816,0.743
11318,2.794
23609,2.182
26051,1.848
32537,2.614
1492,2.016
22515,1.497
18906,1.289
8564,2.415
17133,1.614
25589,4.563
26292,0.832
36169,1.158
36517,1.107
19907,3.418
28730,3.114
28538,2.362
32541,2.502
31623,2.722
12244,2.285
30599,1.695
12029,1.299
9425,1.1
29192,1.685
33429,5.00001
19952,3.822
5877,2.302
2665,2.248
35455,2.621
3849,2.966
14988,2.464
23499,2.677
15445,1.08
4153,2.921
32201,5.00001
4603,3.35
90,1.798
13714,2.583
385,1.172
3819,2.958
7818,1.75
22215,2.679
30022,0.534
11065,1.728
28851,1.555
29497,2.3
21554,0.958
13840,0.924
11529,1.985
26750,1.813
3666,1.463
21875,2.49
31694,0.875
7474,0.676
14981,0.832
30364,3.988
10872,1.345
21386,1.03
27637,2.745
36059,1.479
35530,1.713
17068,0.835
10329,2.333
13877,1.967
23089,1.063
36429,0.729
20609,5.00001
10355,1.634
7006,2.924
6030,3.861
27041,1.153
35517,3.033
13237,2.346
35052,2.281
2594,5.00001
22462,0.826
10526,0.606
32718,0.924
15427,0.871
17360,3.949
35384,3.325
36143,0.675
163,0.7
22233,1.279
8968,3.081
22843,1.281
2273,2.61
31048,0.976
8749,2.388
19529,5.00001
34231,1.254
20909,1.023
18301,5.00001
19608,2.153
8480,1.568
21056,5.00001
33486,4.628
28668,2.33
13808,2.831
21106,1.576
4798,1.625
4775,0.84
34902,1.458
28586,2.638
4044,2.679
3604,1.403
2945,1.142
36057,2.216
16196,1.006
5329,2.875
31811,1.693
1199,1.883
17358,1.875
10599,2.964
34833,2.1
32791,0.875
26151,2.23
30662,2.91
2585,1.831
11383,1.924
17391,3.54
25217,3.531
15215,1.107
14741,3.822
1610,1.375
3755,0.957
14406,1.216
270,2.583
33611,1.192
10318,3.908
25486,3.236
12095,3.268
13407,1.188
9366,4.359
32481,2.4
33105,2.0
1901,0.747
32421,3.19
31894,1.65
29280,1.617
12431,2.341
11116,2.489
3762,3.016
22645,1.426
10608,0.713
3418,2.169
17794,0.58
29243,1.875
36554,3.6
28171,5.00001
31393,1.98
20132,1.089
22417,2.244
34261,3.347
20682,0.925
33447,1.606
25445,0.847
1696,0.984
9513,5.00001
35305,0.841
33538,0.526
11185,1.892
27879,1.742
9680,2.329
672,1.375
27937,1.798
14262,3.512
20370,1.103
4531,1.158
28145,1.078
34484,2.406
25951,1.625
22212,1.192
10549,4.255
18310,0.929
173,0.875
13016,1.302
20134,1.532
33483,1.528
18914,1.472
100,4.447
2290,0.475
20244,1.519
17689,3.563
2027,4.504
27865,0.948
16299,1.006
18782,2.727
3027,0.951
6439,2.715
21859,2.182
31794,1.014
1275,2.926
9084,2.811
19115,1.111
10281,2.73
6505,1.546
31723,5.00001
25171,1.375
1606,3.429
9629,0.534
1760,1.057
8741,5.00001
17703,1.438
28148,2.213
18110,1.026
20791,0.794
31363,2.713
23425,0.816
35712,0.958
33630,1.301
10106,1.399
33244,1.179
36081,1.188
29255,0.606
4047,2.194
4888,5.00001
17229,5.00001
16254,1.085
30431,1.917
36530,1.74
1316,2.298
9566,1.075
31680,2.282
30123,0.946
18491,5.00001
36848,1.763
27004,2.542
17257,2.526
34010,1.063
27988,1.694
7918,1.031
11064,1.125
7459,1.849
28135,2.135
1343,2.427
23123,1.421
1719,4.244
29465,1.625
2999,1.511
4028,1.708
15892,1.543
28035,5.00001
15995,1.651
31085,0.664
18817,3.0
10830,3.517
4243,2.625
10093,3.237
35639,2.1
25609,1.682
4357,1.401
27102,2.023
29829,0.939
32140,2.183
14980,1.458
27259,1.125
20878,1.693
13786,0.65
2064,1.208
27106,0.6
24814,0.809
29302,4.441
17237,1.448
32246,5.00001
13622,3.208
20748,1.347
32668,0.55
1962,0.689
8207,3.413
24054,5.00001
32881,2.929
8486,1.219
18644,1.622
30271,0.575
9195,2.379
35804,3.553
2595,3.2
14792,1.464
9711,1.531
22147,5.00001
33088,1.518
21722,0.744
32975,5.00001
34688,2.289
16503,2.158
3902,2.704
19870,1.294
3151,2.514
18558,2.185
10644,1.602
3077,0.888
2713,5.00001
15659,1.375
19916,1.821
10954,1.353
5360,1.094
2041,1.631
11127,1.343
30836,2.237
2871,2.807
162,1.984
24200,1.849
32300,3.883
8945,1.758
281,1.235
7322,0.969
69,1.161
8226,2.167
14813,2.403
30814,1.851
31943,1.222
25808,2.05
4064,4.065
7373,2.126
28052,0.481
6204,1.535
24916,2.865
28963,0.775
32018,0.899
14090,2.162
18437,3.238
16915,0.974
3122,1.302
4753,2.779
33487,0.665
9202,0.847
30311,2.194
684,1.249
35747,4.35
1046,1.243
30554,1.056
2421,2.75
3973,1.083
11046,4.908
5519,3.762
14264,1.818
12972,5.00001
14495,0.831
12247,1.458
4129,2.81
6053,2.25
21414,3.223
3706,1.494
10377,5.00001
8394,0.512
4081,3.333
16680,1.446
8232,1.25
434,2.478
17325,0.675
16417,1.446
36740,0.821
33977,2.011
34981,5.00001
5689,1.775
35814,3.314
14715,1.389
26571,2.869
14749,2.291
27326,3.109
8847,2.836
35863,0.949
2088,5.00001
20737,3.414
807,3.0
7316,1.683
32722,1.3
33005,5.00001
32504,1.382
16017,1.928
28674,0.565
8908,2.577
9074,0.875
9252,4.15
15929,0.883
7429,1.556
6784,2.887
18354,0.9
33134,1.234
11193,1.025
33111,2.75
11879,3.908
22807,2.962
15321,2.78
6129,1.582
35205,2.542
24427,4.318
34189,0.559
23214,0.409
299,1.373
2343,1.516
29980,1.724
32409,1.517
32101,2.252
22581,2.984
16210,0.947
